date,signal_strategy,equal_weight
2022-11-16,1370308.3067742235,931021.3123936239
2022-11-17,1368259.5918354094,927682.4580013719
2022-11-18,1366068.29244766,925025.2118075137
2022-11-21,1350184.6194526546,911622.1300854897
2022-11-22,1368450.8029451931,926673.6665676977
2022-11-23,1392375.7010782626,939339.4344656661
2022-11-25,1384409.8625997014,933473.0786435854
2022-11-28,1365880.002914948,920472.7885729067
2022-11-29,1358751.9279685612,916380.7092103285
2022-11-30,1417767.9669517297,957363.9970336572
2022-12-01,1423079.0324570832,959712.8854340212
2022-12-02,1419759.4862258392,955764.5762564599
2022-12-05,1397831.9640639308,939746.8201310599
2022-12-06,1363982.9688723946,919527.5465303799
2022-12-07,1354119.2961572332,915615.6187022238
2022-12-08,1370753.2778203574,923919.033048112
2022-12-09,1362760.9265184854,920115.8792380805
2022-12-12,1378682.031587235,926496.6403162911
2022-12-13,1398556.7999057255,937291.671402226
2022-12-14,1385211.1262721154,928700.9199426274
2022-12-15,1349284.935683522,904148.4898906084
2022-12-16,1340668.0751067633,895111.7280826697
2022-12-19,1322045.6611177048,882862.5810231459
2022-12-20,1321844.943311371,879072.7242173755
2022-12-21,1337186.9764914233,891461.4140893948
2022-12-22,1307664.2379578615,866117.1375143983
2022-12-23,1313167.4687919028,868413.5505011714
2022-12-27,1295311.4576754388,849683.821121369
2022-12-28,1280884.2575131382,842135.3036465436
2022-12-29,1306349.590139948,865324.1782762294
2022-12-30,1307842.6792550846,865103.2157763479
2023-01-03,1288505.9612317553,859019.1291514653
2023-01-04,1309440.5148858132,867037.7308342146
2023-01-05,1286533.1101033657,853680.2168475732
2023-01-06,1316615.1070540175,874151.0545185668
2023-01-09,1351174.1462730593,887631.6695919556
2023-01-10,1363531.8115879393,894149.0047774984
2023-01-11,1391721.5878867481,909982.6608854998
2023-01-12,1409566.3164090023,919148.8560904129
2023-01-13,1413999.5630762721,923910.2465549364
2023-01-17,1429288.173305353,928927.1316239637
2023-01-18,1415053.8633268361,919794.4269098341
2023-01-19,1404428.264408053,912607.8997273091
2023-01-20,1446357.2189440685,936738.6129970759
2023-01-23,1486582.3901470092,961626.920230449
2023-01-24,1479663.5083375706,958106.3809564331
2023-01-25,1477782.737463403,956160.8405111252
2023-01-26,1526857.0529586892,976133.7722763799
2023-01-27,1566337.119246732,987668.4900036281
2023-01-30,1514157.17694815,965904.4597466231
2023-01-31,1548393.7511583557,981615.6544619657
2023-02-01,1618433.9558396484,1009380.7188118371
2023-02-02,1708291.6993745454,1054766.90514106
2023-02-03,1680806.9837642913,1039199.7543068677
2023-02-06,1663406.2552752325,1029395.8071182389
2023-02-07,1694832.8855523411,1048690.0697496745
